wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Selatan,Kel. Manggarai,Jl. DR Saharjo Gg. Swadaya No I RT 15/09 Manggarai,,,,,,,,,,,,,
Jakarta Selatan,KEC. Setiabudi,Jl. Halimun No. 13 rt 08 rw 02,,,,,,,,,,,,,
Jakarta Selatan,Kel. Setiabudi,Jl Setiabudi Barat VII RT 4 / 4,,,,,,,,,,,,,
Jakarta Selatan,Kel. Karet,Jl. Komando Ujung  RT 10/02 ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pasar Manggis,Jl. Menteng Granit No. 3 RT15/07,,,,,,,,,,,,,
Jakarta Selatan,Kel. Menteng Atas,Jl Makmur rt 01 / 08 ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Karet Kuningan,Jl Anggrek 1 no 7 rt 11 /01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kuningan Timur,Jl guru Mughni 7 rt 01/05,,,,,,,,,,,,,
Jakarta Selatan,KEC. Mampang Prapatan,"Jl. Liliana Blok C 24-25, Rt.02 Rw 08, Pela Mampang ",,,,,,,,,,,,,
Jakarta Selatan,Kel. Pela Mampang I,Jl. Pondok Jaya III,,,,,,,,,,,,,
Jakarta Selatan,Kel. Mampang Prapatan,Jl. Tegal Parang I RT 011/04,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kuningan Barat,Jl. Poncol Jaya No. 40 RT 011/05,,,,,,,,,,,,,
Jakarta Selatan,Kel. Tegal Parang,Jl. Mampang Prapatan XI No.28 RT 07/04,,,,,,,,,,,,,
Jakarta Selatan,Kel. Bangka,Jl. Kemang Dalam III RT 04/03,,,,,,,,,,,,,
Jakarta Selatan,KEC. Pasar Minggu,Jl. Raya Kebagusan,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kebagusan,Jl.Jati Padang / Puskesmas RT 05/01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pejaten Timur,Jl. Swadaya I No 28RT 006/10,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pejaten Barat I,Jl. Raya Pejaten No. 2 RT 01/07,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pejaten Barat II,Jl. Ayub GG.F RT 012/01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pejaten Barat III,Jl. Siaga Raya RT 001/06 ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pasar Minggu I,Jl.B II Komp. AL  RT 004/08,,,,,,,,,,,,,
Jakarta Selatan,Kel. Ragunan,Jl. Harsono RM RT 007/04,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cilandak Timur,Jl. Madarasah No. 11 RT 010/004,,,,,,,,,,,,,
Jakarta Selatan,Kel. Jati Padang,Jl. Mangga Besar Jati Padang,,,,,,,,,,,,,
Jakarta Selatan,KEC. Kebayoran Baru,Jl. Iskandarsyah Raya No. 105,,,,,,,,,,,,,
Jakarta Selatan,Kel. Rawa Barat,Jl. Gunawarman No. 73 Rt. 003/07 Kel. Rawa Brt,,,,,,,,,,,,,
Jakarta Selatan,Kel. Selong,Jl. Rajasa III No. I Blok R RT 09/03 Selong Kec. Kebayoran Baru,,,,,,,,,,,,,
Jakarta Selatan,Kel. Gunung,Jl. Bumi No. 42 RT 01/03,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kramat Pela,Jl. Gandaria Tengah V/2 Kel. Kramat Pela,,,,,,,,,,,,,
Jakarta Selatan,Kel. Petogogan,Jl. Pulo Raya VIII/3  RT 02/01 Petogogan ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pulo,Jl. Bayem I No. 11 009/09 Blok. A Kel. Pulo,,,,,,,,,,,,,
Jakarta Selatan,Kel. Gandaria Utara I,Jl. Deltasari F1 No 9 RT 004/013,,,,,,,,,,,,,
Jakarta Selatan,Kel. Gandaria Utara II,Jl. Masjid Blok A Rt. 005/06,,,,,,,,,,,,,
